id,content_name,is_ott,∫–∑˘ƒ⁄µÂ,∞≥∫¿¿œ,∞®µ∂_π◊_PD,Ω√√ª¿⁄ºˆ,platform,episode_total,episode_length,cast,origin_country,lang,rating,synopsis,poster_url,ott_availability,awards,tags
1,The Gift,N,KVARIETY_115,2015-11-01,Joel Edgerton,105918,Theater,1,108,"Busy Philipps, Allison Tolman",USA,English,19±›,compulsive liar fired from a job gift,NA,NA,NA,"Mystery, Thriller"
2,Unfriended,N,MOVIE_FANTASY_DRAGON,2014-12-03,Levan Gabriadze,440679,Theater,1,83,"Shelley Hennig, Renee Olstead",USA,English,19±›,blender computer screen secret,NA,NA,NA,"Horror, Mystery, Thriller"
3,Now Is Good,N,KVARIETY_099,2012-03-16,Ol Parker,126532,øµ»≠∞¸,1,103,"Jeremy Irvine, Olivia Williams",UK,English,15ºº,death dying leukemia,NA,NA,NA,"Drama, Romance"
4,Exeter,N,KVARIETY_025,2015-08-02,Marcus Nispel,306626,Theater,1,91,"Ashley Tramonte, Brittany Curran",USA,English,19±›,asylum demon party,NA,NA,NA,"Horror, Mystery, Thriller"
5,Khumba,N,DRAMA_SCHOOL_TEACHER,2013-07-15,Anthony Silverston,119475,øµ»≠∞¸,1,85,"Liam Neeson, Steve Buscemi",South Africa,English,¿¸√º,herd ostrich waterhole,NA,NA,NA,"Adventure, Animation, Family"
6,Centurion,N,DRAMA_CRIME_POLICE,2010-04-24,Neil Marshall,101761,øµ»≠∞¸,1,97,"Michael Fassbender, JJ Feild",UK,English,19±›,mushroom mute roman soldier,NA,NA,NA,"Action, Adventure, Drama"
7,The Christmas Candle,N,MOVIE_ROM_GEN,2013-10-24,John Stephenson,244121,øµ»≠∞¸,1,100,"Samantha Barks, Hans Matheson",UK,English,12ºº,angel candle christmas,NA,NA,NA,"Drama, Family"
8,Danny Collins,N,MOVIE_ROM_MELODRAMA,2015-11-15,Dan Fogelman,118022,Theater,1,106,"Al Pacino, Jennifer Garner",USA,English,19±›,entertainer inspiration lost opportunity,NA,NA,NA,"Comedy, Drama, Music"
9,Fair Game,N,MOVIE_ANIME_CULINARY,2010-01-21,Doug Liman,565219,Theater,1,108,"Naomi Watts, Ty Burrell",USA,English,15ºº,bush administration cia interview,NA,NA,NA,"Biography, Drama, Thriller"
10,Legends of Oz: Dorothy's Return,N,KVARIETY_114,2013-09-18,Will Finn,239369,Theater,1,88,"Lea Michele, Oliver Platt",USA,English,12ºº,jester kansas oz,NA,NA,NA,"Adventure, Animation, Family"
11,My Week with Marilyn,N,KVARIETY_107,2011-11-05,Simon Curtis,515143,øµ»≠∞¸,1,99,"Eddie Redmayne, Toby Jones",UK,English,19±›,actress assistant director blonde bombshell,NA,NA,NA,"Biography, Drama"
12,Chain of Command,N,DRAMA_MEDICAL_SURGERY,2015-09-05,Kevin Carraway,392888,Theater,1,88,"Michael Jai White, Max Ryan",USA,English,19±›,army michael jai white ohio,NA,NA,NA,"Action, Thriller"
13,The Past is a Grotesque Animal,N,KVARIETY_012,2014-01-03,Jason Miller,394820,Theater,1,77,"Jon Brion, Dottie Alexander",USA,English,¿¸√º,artist band male rear nudity,NA,NA,NA,"Biography, Documentary, Music"
14,Sholem Aleichem: Laughing in the Darkness,N,DRAMA_FAM_MULTIGENER,2011-02-27,Joseph Dorman,423156,Theater,1,93,"Rachel Dratch, Peter Riegert",USA,English,¿¸√º,jewish identity,NA,NA,NA,Documentary
15,Alice Through the Looking Glass,N,MOVIE_SF_ALIEN,2016-04-25,James Bobin,70718,Theater,1,113,"Johnny Depp, Alan Rickman",USA,English,12ºº,clock dark fantasy mad hatter,NA,NA,NA,"Adventure, Family, Fantasy"
16,Gone Girl,N,KVARIETY_166,2014-04-12,David Fincher,789310,Theater,1,149,"Patrick Fugit, Sela Ward",USA,English,19±›,based on novel disappearance missing person,NA,NA,NA,"Crime, Drama, Mystery"
17,No Good Deed,N,KVARIETY_126,2014-03-19,Sam Miller,280485,Theater,1,84,"Leslie Bibb, Kate del Castillo",USA,English,15ºº,home invasion police officer shot police officer shot in the chest,NA,NA,NA,"Crime, Thriller"
18,House at the End of the Street,N,KVARIETY_067,2012-02-28,Mark Tonderai,429303,øµ»≠∞¸,1,101,"Jennifer Lawrence, Nolan Gerard Funk",Canada,English,15ºº,brother sister relationship death of sister female protagonist,NA,NA,NA,"Drama, Horror, Thriller"
19,Parker,N,KVARIETY_157,2013-11-12,Taylor Hackford,151724,Theater,1,118,"Jason Statham, Clifton Collins Jr.",USA,English,19±›,action hero disguise hospital,NA,NA,NA,"Action, Crime, Romance"
20,Maleficent,N,KVARIETY_195,2014-07-07,Robert Stromberg,555064,Theater,1,97,"Angelina Jolie Pitt, Sharlto Copley",USA,English,12ºº,curse dark fantasy fairy,NA,NA,NA,"Action, Adventure, Family"
21,The 5th Wave,N,MOVIE_ANIME_ROMANCE,2016-07-02,J Blakeson,245511,Theater,1,112,"Chlo?? Grace Moretz, Maggie Siff",USA,English,15ºº,alien attack based on novel,NA,NA,NA,"Action, Adventure, Sci-Fi"
22,Something Borrowed,N,KVARIETY_104,2011-11-04,Luke Greenfield,96264,Theater,1,112,"Ashley Williams, Steve Howey",USA,English,15ºº,best friend crush law school,NA,NA,NA,"Comedy, Drama, Romance"
23,Pixels,N,KVARIETY_066,2015-02-03,Chris Columbus,401393,Theater,1,106,"Peter Dinklage, Adam Sandler",USA,English,15ºº,alien arcade game chase,NA,NA,NA,"Action, Animation, Comedy"
24,The Diary of a Teenage Girl,N,MOVIE_DOC_SCIENCE,2015-12-10,Marielle Heller,184694,Theater,1,102,"Alexander Skarsg??rd, David Fine",USA,English,19±›,1970s mother's boyfriend overalls,NA,NA,NA,"Drama, Romance"
25,Victor Frankenstein,N,KVARIETY_110,2015-10-21,Paul McGuigan,423660,Theater,1,110,"Daniel Radcliffe, Spencer Wilding",USA,English,15ºº,assistant experiment frankenstein,NA,NA,NA,"Drama, Horror, Sci-Fi"
26,Water for Elephants,N,DRAMA_FAM_SIBLING,2011-12-13,Francis Lawrence,119749,Theater,1,120,"Robert Pattinson, Christoph Waltz",USA,English,15ºº,circus circus vargas elephant,NA,NA,NA,"Drama, Romance"
27,When the Lights Went Out,N,KVARIETY_056,2012-06-14,Pat Holden,561977,øµ»≠∞¸,1,86,"Alan Brent, Martin Compston",UK,English,¿¸√º,father daughter relationship poltergeist spirit,NA,NA,NA,Horror
28,The FP,N,DRAMA_SF_PARALLEL,2011-07-17,Brandon Trost,83543,Theater,1,82,"Clifton Collins Jr., Sean Whalen",USA,English,19±›,abbreviation in title based on short film competition dancing,NA,NA,NA,Comedy
29,Supporting Characters,N,KVARIETY_101,2012-03-08,Daniel Schechter,512335,Theater,1,87,"Lena Dunham, Kevin Corrigan",USA,English,¿¸√º,film editor kiss marriage proposal,NA,NA,NA,Comedy
30,Won't Back Down,N,MOVIE_MUSIC_JAZZ,2012-05-16,Daniel Barnz,494384,Theater,1,121,"Holly Hunter, Rosie Perez",USA,English,12ºº,children inner city parent,NA,NA,NA,Drama
31,RED 2,N,KVARIETY_091,2013-07-14,Dean Parisot,306874,Theater,1,116,"Bruce Willis, Anthony Hopkins",USA,English,15ºº,cia cia agent rescue,NA,NA,NA,"Action, Comedy, Crime"
32,This Is the End,N,MOVIE_SF_DYSTOPIA,2013-03-12,Evan Goldberg,521027,Theater,1,107,"Channing Tatum, James Franco",USA,English,19±›,apocalypse celebrity ensemble cast,NA,NA,NA,"Comedy, Fantasy"
33,Margaret,N,DRAMA_FAM_STEPFAMILY,2011-02-22,Kenneth Lonergan,333714,Theater,1,186,"Matt Damon, Kieran Culkin",USA,English,19±›,accident bus loss of virginity,NA,NA,NA,Drama
34,Shanghai Calling,N,KDRAMA_084,2012-05-16,Daniel Hsia,351294,Theater,1,100,"Alan Ruck, Daniel Henney",USA,English,15ºº,A film titled Shanghai Calling.,NA,NA,NA,"Comedy, Drama, Romance"
35,Coriolanus,N,DRAMA_FANTASY_DRAGON,2011-01-24,Ralph Fiennes,157924,øµ»≠∞¸,1,123,"Gerard Butler, Ashraf Barhom",UK,English,19±›,modern day adaptation reference to william shakespeare shakespeare in modern dress,NA,NA,NA,"Drama, Thriller, War"
36,Diary of a Wimpy Kid,N,MOVIE_DOC_MEDICAL,2010-02-12,Thor Freudenthal,496088,Theater,1,94,"Chlo?? Grace Moretz, Zachary Gordon",USA,English,12ºº,cheese diary friend,NA,NA,NA,"Comedy, Family"
37,Child 44,N,MOVIE_ROM_BL,2015-07-08,Daniel Espinosa,160412,øµ»≠∞¸,1,137,"Tom Hardy, Fares Fares",Czech Republic,English,19±›,child murderer murder sex,NA,NA,NA,"Crime, Drama, Thriller"
38,Vacation,N,KDRAMA_032,2015-07-22,John Francis Daley,306104,Theater,1,99,"Chris Hemsworth, Norman Reedus",USA,English,19±›,amusement park dysfunctional family road trip,NA,NA,NA,"Adventure, Comedy"
39,What to Expect When You're Expecting,N,KVARIETY_196,2012-02-28,Kirk Jones,432540,Theater,1,110,"Anna Kendrick, Dennis Quaid",USA,English,15ºº,baby expecting twins hawaiian shirt,NA,NA,NA,"Comedy, Drama, Romance"
40,Mad Max: Fury Road,N,MOVIE_ACTION_SUPERHERO,2015-06-12,George Miller,648544,øµ»≠∞¸,1,120,"Tom Hardy, Charlize Theron",Australia,English,19±›,australia desert escape,NA,NA,NA,"Action, Adventure, Sci-Fi"
41,The 33,N,KVARIETY_192,2015-11-01,Patricia Riggen,492125,øµ»≠∞¸,1,127,"Marco Trevi?°æo, James Brolin",Chile,English,15ºº,disaster movie mine minister,NA,NA,NA,"Biography, Drama, History"
42,The Call,N,MOVIE_CRIME_FRAUD,2013-05-12,Brad Anderson,357907,Theater,1,94,"Michael Imperioli, Tara Platt",USA,English,19±›,911 operator calling 911 die hard scenario,NA,NA,NA,"Crime, Thriller"
43,Bucky Larson: Born to Be a Star,N,DRAMA_WORK_LAWENFORCEMENT,2011-08-19,Tom Brady,412935,Theater,1,97,"Don Johnson, Kevin Nealon",USA,English,19±›,diner eating a banana masturbation,NA,NA,NA,Comedy
44,The Brain That Sings,N,KVARIETY_177,2013-07-03,Amal Al-Agroobi,548646,øµ»≠∞¸,1,62,NA,United Arab Emirates,Arabic,¿¸√º,autism middle east music therapy,NA,NA,NA,"Documentary, Family"
45,Sharkskin,N,KVARIETY_160,2015-10-08,Dan Perri,400154,Theater,1,100,"Travis Myers, David Proval",USA,English,¿¸√º,A film titled Sharkskin.,NA,NA,NA,"Comedy, Drama, Mystery"
46,The Infiltrator,N,DRAMA_MEDICAL_LAW,2016-02-03,Brad Furman,591842,øµ»≠∞¸,1,127,"Joseph Gilgun, Amy Ryan",UK,English,19±›,A film titled The Infiltrator.,NA,NA,NA,"Biography, Crime, Drama"
47,Blackthorn,N,KDRAMA_077,2011-12-24,Mateo Gil,241797,øµ»≠∞¸,1,102,"Sam Shepard, Dominique McElligott",Spain,English,19±›,assumed identity bolivia butch cassidy,NA,NA,NA,"Action, Adventure, Western"
48,Furry Vengeance,N,DRAMA_CRIME_HOSTAGE,2010-10-03,Roger Kumble,386296,Theater,1,92,"Brendan Fraser, Brooke Shields",USA,English,12ºº,animal bear land developer,NA,NA,NA,"Comedy, Family"
49,Free Birds,N,MOVIE_DOC_ART,2013-10-15,Jimmy Hayward,250078,Theater,1,91,"Amy Poehler, Carlos Ponce",USA,English,12ºº,chipmunk hunting dog sabotage,NA,NA,NA,"Adventure, Animation, Comedy"
50,The Timber,N,MOVIE_ANIME_MYSTERY,2015-07-11,Anthony O'Brien,391637,Theater,1,81,"James Ransone, Maria Doyle Kennedy",USA,English,¿¸√º,A film titled The Timber.,NA,NA,NA,"Adventure, Drama, Western"
51,Area 51,N,DRAMA_ROM_NOONA,2015-03-23,Oren Peli,554636,Theater,1,91,"Glenn Campbell, Sandra Staggs",USA,English,19±›,alien alien abduction conspiracy,NA,NA,NA,"Horror, Sci-Fi, Thriller"
52,The Sweeney,N,MOVIE_ACTION_GEN,2012-04-17,Nick Love,579329,øµ»≠∞¸,1,112,"Hayley Atwell, Ray Winstone",UK,English,19±›,bank criminal detective,NA,NA,NA,"Action, Crime, Drama"
53,Carnage,N,KDRAMA_022,2011-05-20,Roman Polanski,100520,øµ»≠∞¸,1,80,"Kate Winslet, Christoph Waltz",France,English,19±›,based on play meeting salesman,NA,NA,NA,"Comedy, Drama"
54,Beneath Hill 60,N,DRAMA_WORK_POLICE,2010-04-17,Jeremy Sims,265066,øµ»≠∞¸,1,122,"Harrison Gilbertson, Gyton Grantley",Australia,English,19±›,blue clay diversion ends with biographical notes,NA,NA,NA,"Drama, History, War"
55,13 Hours,N,MOVIE_COM_SLAPSTICK,2016-06-24,Michael Bay,451185,Theater,1,144,"Toby Stephens, James Badge Dale",USA,English,19±›,based on true story cia agent libya,NA,NA,NA,"Action, Drama, Thriller"
56,Little Boy,N,MOVIE_ACTION_MARTIALARTS,2015-07-17,Alejandro Monteverde,313492,øµ»≠∞¸,1,106,"Tom Wilkinson, Cary-Hiroyuki Tagawa",Mexico,English,15ºº,A film titled Little Boy.,NA,NA,NA,"Drama, War"
57,Iron Man 2,N,KDRAMA_026,2010-01-16,Jon Favreau,1032543,Theater,1,124,"Robert Downey Jr., Scarlett Johansson",USA,English,15ºº,hammer military monaco,NA,NA,NA,"Action, Adventure, Sci-Fi"
58,The World Is Mine,N,KDRAMA_055,2015-04-27,Nicolae Constantin Tanase,439906,øµ»≠∞¸,1,104,"Iulia Ciochina, Ana Maria Guran",Romania,Romanian,¿¸√º,A film titled The World Is Mine.,NA,NA,NA,Drama
59,The Legend of Hercules,N,DRAMA_THR_POLICE,2014-02-16,Renny Harlin,446336,Theater,1,99,"Roxanne McKee, Luke Newberry",USA,English,15ºº,ancient greece forbidden love hercules,NA,NA,NA,"Action, Adventure, Fantasy"
60,Rodeo Girl,N,KVARIETY_034,2016-04-16,Joel Paul Reisig,598207,Theater,1,108,"Carrie Bradstreet, Joel Paul Reisig",USA,English,12ºº,A film titled Rodeo Girl.,NA,NA,NA,Family
