brdcst_de,chnnel_nm,progrm_begin_time,progrm_end_time,progrm_nm,progrm_dc,brdcst_tme_nm,brdcst_time,progrm_genre_lclas_nm,progrm_genre_mlsfc_nm,progrm_genre_sclas_nm,male_4_9yo_wtchng_rt,male_n10s_wtchng_rt,male_n20s_wtchng_rt,male_n30s_wtchng_rt,male_n40s_wtchng_rt,male_n50s_wtchng_rt,male_n60s_above_wtchng_rt,female_4_9yo_wtchng_rt,female_n10s_wtchng_rt,female_n20s_wtchng_rt,female_n30s_wtchng_rt,female_n40s_wtchng_rt,female_n50s_wtchng_rt,female_n60s_above_wtchng_rt
20210101,KBS1,203112,205919,누가뭐래도,,60회,2807,드라마&영화,드라마,일일연속극,3.99855,3.66881,4.26234,5.3411,6.05215,9.41876,22.60157,10.64908,6.67382,4.04629,7.2603,6.4586,15.80698,25.25133
20210101,KBS2,94911,101721,누가뭐래도,,59회,2810,드라마&영화,드라마,일일연속극,3.20338,0.17111,0.83431,0.41355,1.02822,1.62501,2.30971,0,1.33908,0.57382,0.35241,1.26126,2.51236,1.9438
20210101,KBS2,142326,145859,오삼광빌라,<1부>,29회,3533,드라마&영화,드라마,주말연속극,1.66476,0.49169,0.55878,1.13463,0.22374,0.67317,1.27089,0.14791,0.16965,0.14008,0.76554,0.23464,1.01417,1.30055
20210101,KBS2,150014,153437,오삼광빌라,<2부>,29회,3423,드라마&영화,드라마,주말연속극,1.71066,0.16466,0.81739,0.83963,0.33307,0.97115,1.83509,0.29581,0.20094,0.15237,0.74824,0.30877,1.03649,2.12573
20210101,KBS2,154506,161957,오삼광빌라,<1부>,30회,3451,드라마&영화,드라마,주말연속극,1.57211,0.03617,0.75902,0.94324,0.76457,0.83138,1.50615,2.41115,0.22382,0.16787,0.58009,0.72008,1.60831,1.86178
20210101,KBS2,162112,165531,오삼광빌라,<2부>,30회,3419,드라마&영화,드라마,주말연속극,1.62414,0.16632,0.66225,0.93223,1.10622,1.46022,1.90691,1.62536,0.37799,0.55135,1.04892,1.11057,1.94572,2.22477
20210101,KBS2,195031,202548,비밀의남자,,77회,3517,드라마&영화,드라마,일일연속극,4.99078,5.16953,4.80481,5.41038,7.00073,10.5333,20.99646,6.62056,7.22294,5.63237,7.38547,8.59394,16.79408,25.6938
20210101,MBC,191316,194338,찬란한내인생,,122회,3022,드라마&영화,드라마,일일연속극,0.74311,1.01873,2.36396,3.07662,3.57076,5.60584,6.62671,0.89664,2.43215,2.54719,2.16845,4.85578,7.72266,8.14441
20210101,SBS,83625,90709,불새2020,,50회,3044,드라마&영화,드라마,아침드라마,2.62011,1.29532,0.94098,1.64826,2.9238,3.84837,4.64244,1.96237,1.00764,0.57091,1.78579,2.28985,3.33367,6.10695
20210101,SBS,220120,223152,날아라개천용,<1부>,13회,3032,드라마&영화,드라마,미니시리즈,4.01544,2.7969,2.40796,2.94617,6.08327,5.81027,2.74646,9.32191,2.07569,1.75366,3.5,3.92301,6.71145,2.36241
20210101,SBS,223402,230851,날아라개천용,<2부>,13회,3449,드라마&영화,드라마,미니시리즈,4.01273,3.33979,2.18147,2.08337,6.59199,6.49104,2.20687,8.89091,2.43922,2.04437,3.16866,4.53869,6.26626,2.68886
20210101,OBS,182242,192420,인수대비,,48회,10138,드라마&영화,드라마,주간연속극,0,0,0,0,0.00488,0.06519,0.08531,0,0.00426,0.01096,0,0.00913,0.02215,0.16404
20210101,채널A,245028,253702,나쁜아이들,,4회,4634,드라마&영화,드라마,특집극,0,0.00641,0.08522,0.01401,0,0.21355,0.12492,0,0,0,0.01346,0.02449,0.01245,0.06685
20210101,JTBC,151105,161551,런온,,5회,10446,드라마&영화,드라마,미니시리즈,0,0.12916,0.24635,0.19864,0.43807,0.48541,0.28884,0.10609,0.14909,0.20242,0.12388,0.44599,0.54079,0.56719
20210101,JTBC,163022,173541,런온,,6회,10519,드라마&영화,드라마,미니시리즈,1.53671,0.9239,0.27745,0.51194,0.50331,0.87608,0.64126,4.36909,0.84175,0.55748,0.66591,1.05284,1.37807,0.87901
20210101,tvN,105619,121945,철인왕후,,3회,12326,드라마&영화,드라마,미니시리즈,2.71082,1.1298,0.76961,0.50987,1.49296,1.19088,0.61982,0.87801,0.66169,0.32765,1.12546,1.64764,1.21382,0.86915
20210101,tvN,123749,140034,철인왕후,,4회,12245,드라마&영화,드라마,미니시리즈,1.27298,0.17313,0.28557,0.45699,1.36858,0.838,1.15712,1.05257,0.25707,0.71565,1.09188,3.17052,1.1317,1.39772
20210101,tvN,141513,153736,철인왕후,,5회,12223,드라마&영화,드라마,미니시리즈,0.21994,1.23817,0.51322,0.30774,2.45507,1.19327,1.4788,0.01297,1.1094,0.57741,1.38135,3.15031,1.5422,1.96761
20210101,tvN,155933,171457,철인왕후,,6회,11524,드라마&영화,드라마,미니시리즈,0.40067,0.95097,1.16212,0.43761,4.04143,2.16064,1.97076,0,2.23544,0.35841,1.41794,4.20881,3.14657,2.18984
20210101,국방TV,193007,193601,파도가부른다,,3회,554,드라마&영화,드라마,특집극,0,0,0,0,0,0,0,0,0,0,0,0,0.0498,0
20210101,국방TV,194007,194952,파도가부른다,,4회,945,드라마&영화,드라마,특집극,0,0,0,0,0,0,0.00968,0,0,0.02569,0,0.03467,0.01147,0
