AREA_NM,BRDCST_DE,WTCHNG_TIME,MALE_4_9YO_WTCHNG_TIME,MALE_N10S_WTCHNG_TIME,MALE_N20S_WTCHNG_TIME,MALE_N30S_WTCHNG_TIME,MALE_N40S_WTCHNG_TIME,MALE_N50S_WTCHNG_TIME,MALE_N60S_ABOVE_WTCHNG_TIME,FEMALE_4_9YO_WTCHNG_TIME,FEMALE_N10S_WTCHNG_TIME,FEMALE_N20S_WTCHNG_TIME,FEMALE_N30S_WTCHNG_TIME,FEMALE_N40S_WTCHNG_TIME,FEMALE_N50S_WTCHNG_TIME,FEMALE_N60S_ABOVE_WTCHNG_TIME
"전국","20210701","0411","0257","0136","0141","0259","0324","0413","0633","0235","0159","0207","0329","0405","0551","0728"
"전국","20210702","0406","0240","0133","0143","0249","0326","0416","0620","0243","0203","0207","0324","0425","0531","0712"
"전국","20210703","0506","0343","0213","0222","0341","0444","0545","0728","0331","0252","0240","0413","0524","0653","0808"
"전국","20210704","0524","0322","0217","0208","0357","0508","0638","0747","0307","0246","0247","0418","0601","0729","0839"
"전국","20210705","0409","0221","0131","0139","0247","0333","0428","0641","0223","0218","0203","0311","0423","0541","0712"
"전국","20210706","0412","0159","0126","0149","0250","0327","0441","0643","0241","0147","0203","0316","0429","0534","0735"
"전국","20210707","0412","0203","0121","0142","0248","0340","0444","0643","0219","0148","0203","0314","0429","0546","0723"
"전국","20210708","0409","0157","0123","0131","0250","0335","0434","0639","0220","0146","0214","0317","0419","0544","0724"
"전국","20210709","0417","0232","0128","0131","0257","0351","0446","0644","0243","0154","0211","0325","0428","0549","0729"
"전국","20210710","0457","0304","0209","0208","0340","0441","0546","0704","0306","0226","0239","0355","0553","0643","0752"
"전국","20210711","0525","0316","0215","0219","0346","0513","0642","0748","0316","0241","0249","0421","0611","0735","0827"
"전국","20210712","0414","0249","0119","0144","0252","0333","0435","0642","0242","0156","0214","0317","0410","0557","0730"
"전국","20210713","0405","0220","0133","0128","0249","0324","0427","0644","0238","0138","0152","0309","0404","0523","0732"
"전국","20210714","0406","0214","0125","0146","0240","0307","0438","0634","0209","0139","0212","0316","0417","0548","0719"
"전국","20210715","0415","0217","0122","0153","0300","0336","0438","0633","0310","0154","0204","0318","0424","0550","0733"
"전국","20210716","0413","0231","0143","0144","0249","0335","0447","0627","0241","0211","0216","0309","0414","0545","0726"
"전국","20210717","0457","0250","0216","0208","0313","0444","0548","0712","0237","0244","0235","0342","0527","0646","0818"
"전국","20210718","0527","0259","0217","0234","0338","0515","0647","0750","0232","0313","0305","0358","0611","0740","0836"
"전국","20210719","0407","0204","0125","0142","0244","0334","0441","0641","0247","0146","0207","0306","0351","0542","0721"
"전국","20210720","0404","0221","0120","0146","0246","0322","0432","0620","0231","0156","0219","0306","0356","0543","0709"
"전국","20210721","0411","0232","0140","0150","0252","0342","0447","0628","0225","0155","0200","0317","0432","0531","0714"
"전국","20210722","0415","0228","0152","0144","0258","0339","0458","0629","0255","0207","0206","0302","0423","0553","0719"
"전국","20210723","0414","0227","0135","0152","0310","0310","0449","0637","0259","0212","0208","0315","0403","0554","0729"
"전국","20210724","0506","0242","0218","0219","0337","0448","0553","0710","0320","0300","0313","0358","0521","0709","0807"
