
id,content_name,is_ott,분류코드,개봉일,감독_및_PD,시청자수,platform,episode_total,episode_length,cast,origin_country,lang,rating,synopsis,poster_url,ott_availability,awards,tags
1,The GiftÂ,N,DRAMA_ACTION_ASSASSIN,2015-06-13,Joel Edgerton,85646,Theater,1,108,"Busy Philipps, Allison Tolman",USA,English,19금,compulsive liar fired from a job gift,NA,NA,NA,"Mystery, Thriller"
2,UnfriendedÂ,N,KVARIETY_018,2014-11-21,Levan Gabriadze,66022,Theater,1,83,"Shelley Hennig, Renee Olstead",USA,English,19금,blender computer screen secret,NA,NA,NA,"Horror, Mystery, Thriller"
3,Now Is GoodÂ,N,KVARIETY_144,2012-12-22,Ol Parker,62172,영화관,1,103,"Jeremy Irvine, Olivia Williams",UK,English,15세,death dying leukemia,NA,NA,NA,"Drama, Romance"
4,ExeterÂ,N,KVARIETY_026,2015-08-28,Marcus Nispel,45649,Theater,1,91,"Ashley Tramonte, Brittany Curran",USA,English,19금,asylum demon party,NA,NA,NA,"Horror, Mystery, Thriller"
5,KhumbaÂ,N,KDRAMA_029,2013-04-20,Anthony Silverston,91986,영화관,1,85,"Liam Neeson, Steve Buscemi",South Africa,English,전체,herd ostrich waterhole,NA,NA,NA,"Adventure, Animation, Family"
6,CenturionÂ,N,MOVIE_DOC_SPORTS,2010-01-05,Neil Marshall,91392,영화관,1,97,"Michael Fassbender, JJ Feild",UK,English,19금,mushroom mute roman soldier,NA,NA,NA,"Action, Adventure, Drama"
7,The Christmas CandleÂ,N,DRAMA_FAM_GEN,2013-06-16,John Stephenson,11685,영화관,1,100,"Samantha Barks, Hans Matheson",UK,English,12세,angel candle christmas,NA,NA,NA,"Drama, Family"
8,Danny CollinsÂ,N,KVARIETY_138,2015-11-23,Dan Fogelman,78099,Theater,1,106,"Al Pacino, Jennifer Garner",USA,English,19금,entertainer inspiration lost opportunity,NA,NA,NA,"Comedy, Drama, Music"
9,Fair GameÂ,N,MOVIE_FANTASY_MYTH,2010-09-25,Doug Liman,65575,Theater,1,108,"Naomi Watts, Ty Burrell",USA,English,15세,bush administration cia interview,NA,NA,NA,"Biography, Drama, Thriller"
10,Legends of Oz: Dorothy's ReturnÂ,N,DRAMA_CRIME_HEIST,2013-04-08,Will Finn,87742,Theater,1,88,"Lea Michele, Oliver Platt",USA,English,12세,jester kansas oz,NA,NA,NA,"Adventure, Animation, Family"
11,My Week with MarilynÂ,N,KVARIETY_183,2011-10-08,Simon Curtis,102712,영화관,1,99,"Eddie Redmayne, Toby Jones",UK,English,19금,actress assistant director blonde bombshell,NA,NA,NA,"Biography, Drama"
12,Chain of CommandÂ,N,KVARIETY_031,2015-06-23,Kevin Carraway,10881,Theater,1,88,"Michael Jai White, Max Ryan",USA,English,19금,army michael jai white ohio,NA,NA,NA,"Action, Thriller"
