업종,연령대,성별,구분,항목,응답수
스킨케어,20~29세,남성,KBF 1순위,보습력/유분감,15
스킨케어,20~29세,남성,KBF 1순위,"기능성(미백, 주름개선 등)",11
스킨케어,20~29세,남성,KBF 1순위,저자극성,10
스킨케어,20~29세,남성,KBF 1순위,함유성분/원료,4
스킨케어,20~29세,남성,KBF 1순위,가격,13
스킨케어,20~29세,남성,KBF 1순위,주위의 평판/입소문,6
스킨케어,20~29세,남성,KBF 1순위,"브랜드(인지도, 이미지 등)",7
스킨케어,20~29세,남성,KBF 1순위,할인/이벤트,7
스킨케어,20~29세,남성,KBF 1순위,질감/농도,4
스킨케어,20~29세,남성,KBF 1순위,양/용량,8
스킨케어,20~29세,남성,KBF 1순위,향,1
스킨케어,20~29세,남성,KBF 1순위,전문가/인플루언서 추천,2
스킨케어,20~29세,남성,KBF 1순위,"매장(점원, 매장광고, 진열 등)",1
스킨케어,20~29세,남성,KBF 1순위,패키지/용기 편리성,1
스킨케어,20~29세,남성,KBF 1순위,"광고(스토리, 모델, 메시지)",1
스킨케어,20~29세,남성,KBF 1순위,제품 디자인,0
스킨케어,20~29세,남성,KBF 1순위,리뷰,0
스킨케어,20~29세,남성,KBF 1순위,트러블 유무,0
스킨케어,20~29세,남성,KBF 1순위,사용 경험,0
스킨케어,20~29세,남성,KBF 1순위,피부 적합도,0
스킨케어,20~29세,남성,"KBF 1,2,3순위 (중복응답)",보습력/유분감,30
스킨케어,20~29세,남성,"KBF 1,2,3순위 (중복응답)","기능성(미백, 주름개선 등)",35
스킨케어,20~29세,남성,"KBF 1,2,3순위 (중복응답)",가격,42
스킨케어,20~29세,남성,"KBF 1,2,3순위 (중복응답)",저자극성,25
스킨케어,20~29세,남성,"KBF 1,2,3순위 (중복응답)",함유성분/원료,17
스킨케어,20~29세,남성,"KBF 1,2,3순위 (중복응답)",할인/이벤트,17
스킨케어,20~29세,남성,"KBF 1,2,3순위 (중복응답)",주위의 평판/입소문,17
스킨케어,20~29세,남성,"KBF 1,2,3순위 (중복응답)","브랜드(인지도, 이미지 등)",14
스킨케어,20~29세,남성,"KBF 1,2,3순위 (중복응답)",양/용량,21
스킨케어,20~29세,남성,"KBF 1,2,3순위 (중복응답)",질감/농도,9
스킨케어,20~29세,남성,"KBF 1,2,3순위 (중복응답)",향,7
스킨케어,20~29세,남성,"KBF 1,2,3순위 (중복응답)",전문가/인플루언서 추천,6
스킨케어,20~29세,남성,"KBF 1,2,3순위 (중복응답)",패키지/용기 편리성,6
스킨케어,20~29세,남성,"KBF 1,2,3순위 (중복응답)","매장(점원, 매장광고, 진열 등)",4
스킨케어,20~29세,남성,"KBF 1,2,3순위 (중복응답)",제품 디자인,2
스킨케어,20~29세,남성,"KBF 1,2,3순위 (중복응답)","광고(스토리, 모델, 메시지)",4
스킨케어,20~29세,남성,"KBF 1,2,3순위 (중복응답)",트러블 유무,1
스킨케어,20~29세,남성,"KBF 1,2,3순위 (중복응답)",피부 적합도,0
스킨케어,20~29세,남성,"KBF 1,2,3순위 (중복응답)",리뷰,0
스킨케어,20~29세,남성,"KBF 1,2,3순위 (중복응답)",사용 경험,0
스킨케어,20~29세,남성,"KBF 1,2,3순위 (중복응답)",ESG,0
스킨케어,20~29세,남성,최근 6개월 내 구매 경험,있다,81
스킨케어,20~29세,남성,최근 6개월 내 구매 경험,없다,37
스킨케어,20~29세,남성,향후 6개월 내 구매 의향,구매의향이 있다,79
스킨케어,20~29세,남성,향후 6개월 내 구매 의향,없다,39
스킨케어,20~29세,남성,광고영향력,전혀 없다,1
스킨케어,20~29세,남성,광고영향력,없는 편이다,13
스킨케어,20~29세,남성,광고영향력,보통이다,35
스킨케어,20~29세,남성,광고영향력,있는 편이다,35
스킨케어,20~29세,남성,광고영향력,매우 있다,7
뷰티 디바이스,20~29세,남성,최근 6개월 내 구매 경험,있다,30
뷰티 디바이스,20~29세,남성,최근 6개월 내 구매 경험,없다,88
뷰티 디바이스,20~29세,남성,향후 6개월 내 구매 의향,구매의향이 있다,37
뷰티 디바이스,20~29세,남성,향후 6개월 내 구매 의향,없다,81
뷰티 디바이스,20~29세,남성,KBF 1순위,성능/기능/작동 방식,14
뷰티 디바이스,20~29세,남성,KBF 1순위,"안전성(유해물질, 승인 여부 등)",2
뷰티 디바이스,20~29세,남성,KBF 1순위,주위의 평판/입소문,2
뷰티 디바이스,20~29세,남성,KBF 1순위,가격,9
뷰티 디바이스,20~29세,남성,KBF 1순위,"브랜드(인지도, 이미지 등)",5
뷰티 디바이스,20~29세,남성,KBF 1순위,회사 신뢰도,2
뷰티 디바이스,20~29세,남성,KBF 1순위,관리 편의성,1
뷰티 디바이스,20~29세,남성,KBF 1순위,전문가/인플루언서 추천,2
